出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
"1131017","11309","2107","厚生","橡膠工業","162631","106158","91419","53.19712127206616","77.89627976678808","1124093","1054771","6.572232266529891","主要係因本期營建收入較去年同期增加所致."
"1131017","11309","2108","南帝","橡膠工業","1123242","1014910","851398","10.674049915756077","31.929133025917373","8388525","6846019","22.5314303100824","-"
"1131017","11309","2109","華豐","橡膠工業","329846","427438","343215","-22.83184929744197","-3.8952260245035912","3557916","3446063","3.2458199400301155","-"
"1131017","11309","2114","鑫永銓","橡膠工業","121761","121154","134305","0.5010152368060485","-9.33993522206917","1063111","1145764","-7.213789227100869","-"
"1131017","11309","2115","六暉-KY","汽車工業","266636","259827","250174","2.6205898540182506","6.580220166763932","2331605","1879149","24.07770751547642","-"
"1131017","11309","2201","裕隆","汽車工業","7066281","6999969","7204757","0.9473184809818443","-1.922007917824293","64992331","59034717","10.091712644273368","-"
"1131017","11309","2204","中華","汽車工業","2729237","1882462","3409468","44.982315712083434","-19.951235793971374","32236863","27709058","16.3405230159755","-"
"1131017","11309","2206","三陽工業","汽車工業","5367010","5022347","5423486","6.862588347639062","-1.0413228687231793","51086785","49408792","3.396142532689324","-"
"1131017","11309","2207","和泰車","汽車工業","20109797","20734032","19953086","-3.0106782896833573","0.7853973064617674","206176022","205257701","0.4473990478924832","-"
"1131017","11309","2208","台船","航運業","933903","1221334","1600377","-23.53418475208256","-41.644812441068574","11242969","16848431","-33.26993474941376","-"
"1131017","11309","2211","長榮鋼","鋼鐵工業","1159962","1150102","854884","0.8573152642113482","35.68647910125818","9471674","9119705","3.859434049675949","-"
"1131017","11309","2227","裕日車","汽車工業","1960731","1377419","2840639","42.34818889531798","-30.975706522370494","18776090","19673801","-4.562976925506159","-"
"1131017","11309","2228","劍麟","汽車工業","478609","443891","445420","7.821289460700938","7.4511696825468094","3820493","3615076","5.682231853493536","-"
"1131017","11309","2231","為升","汽車工業","427571","394936","355176","8.263364190653675","20.382852444985023","3194646","3331695","-4.113491781210465","-"
"1131017","11309","2233","宇隆","汽車工業","309600","303064","313110","2.1566401816118046","-1.1210117849956884","2769158","2472630","11.99241293683244","-"
"1131017","11309","2236","百達-KY","汽車工業","140825","152740","184213","-7.800838025402645","-23.55316942886767","1242552","1302596","-4.6095642854730094","-"
